time,data1,data2,valid
0.001023,11,29,1
0.001124,242,108,1
0.001125,230,7,1
0.001225,231,213,1
0.001227,137,251,1
0.001228,254,224,1
0.001229,248,163,1
0.001230,170,66,1
0.001231,221,169,1
0.001232,187,117,1
0.001233,245,45,1
0.001234,58,137,1
0.001235,163,15,1
0.001236,216,83,1
0.001336,16,121,1
0.001337,124,186,1
0.001339,76,163,1
0.001339,178,222,1
0.001340,143,210,1
0.001342,164,253,1
0.001343,248,116,1
0.001344,244,174,1
0.001346,250,123,1
0.001446,34,30,1
0.001546,147,189,1
0.001547,122,222,1
0.001548,212,170,1
0.001550,196,195,1
0.001550,142,73,1
0.001551,105,141,1
0.001552,15,166,1
0.001554,82,88,1
0.001555,230,78,1
0.001556,235,189,1
0.001557,251,59,1
0.001558,108,23,1
0.001559,152,3,1
0.001560,167,1,1
0.001562,169,54,1
0.001563,89,83,1
0.001564,16,36,1
0.001565,17,38,1
0.001665,88,218,1
0.001666,101,163,1
0.001668,6,168,1
0.001768,168,86,1
0.001769,170,159,1
0.001869,151,220,1
0.001870,151,40,1
0.001872,230,103,1
0.001872,98,220,1
0.001874,111,182,1
0.001875,34,164,1
0.001876,236,139,1
0.001877,40,227,1
0.001878,124,4,1
0.001879,134,19,1
0.001880,144,218,1
0.001882,97,145,1
0.001883,249,34,1
0.001884,136,148,1
0.001885,101,94,1
0.001985,228,149,1
0.002085,46,157,1
0.002086,193,229,1
0.002088,60,214,1
0.002088,126,97,1
0.002089,171,70,1
0.002091,135,123,1
0.002092,222,155,1
0.002093,105,63,1
0.002094,106,226,1
0.002095,215,5,1
0.002096,138,229,1
0.002097,194,37,1
0.002098,117,105,1
0.002099,28,36,1
0.002100,242,246,1
0.002102,129,193,1
0.002103,7,147,1
0.002104,71,248,1
0.002105,15,51,1
0.002105,10,154,1
0.002106,214,188,1
0.002107,66,194,1
0.002109,248,220,1
0.002209,151,61,1
0.002210,166,130,1
0.002211,82,248,1
0.002312,28,99,1
0.002412,57,48,1
0.002413,201,163,1
0.002413,75,26,1
0.002415,66,56,1
0.002415,170,106,1
0.002416,217,188,1
0.002417,111,56,1
0.002419,141,219,1
0.002419,220,155,1
0.002420,30,19,1
0.002421,52,41,1
0.002422,107,168,1
0.002423,47,100,1
0.002424,144,95,1
0.002426,61,88,1
0.002427,115,134,1
0.002428,140,201,1
0.002429,172,18,1
0.002430,14,12,1
0.002531,40,4,1
0.002531,150,47,1
0.002533,184,182,1
0.002534,17,104,1
0.002535,104,71,1
0.002537,255,220,1
0.002538,188,213,1
0.002539,85,82,1
0.002540,27,191,1
0.002541,224,123,1
0.002542,97,69,1
0.002543,97,35,1
0.002544,115,45,1
0.002545,153,36,1
0.002547,18,53,1
0.002548,31,21,1
0.002550,48,172,1
0.002551,178,89,1
0.002552,107,112,1
0.002553,213,24,1
0.002555,255,162,1
0.002556,144,252,1
0.002557,175,41,1
0.002657,10,225,1
0.002658,154,47,1
0.002658,16,150,1
0.002659,147,149,1
0.002660,2,204,1
0.002661,235,180,1
0.002662,39,224,1
0.002663,8,190,1
0.002664,79,206,1
0.002665,135,42,1
0.002666,46,21,1
0.002667,42,187,1
0.002767,46,117,1
0.002868,91,132,1
0.002868,225,124,1
0.002869,151,253,1
0.002969,130,20,1
0.002970,84,199,1
0.002971,238,106,1
0.002972,160,97,1
0.002973,12,102,1
0.002975,108,15,1
0.002976,31,136,1
0.002977,66,134,1
0.002979,176,145,1
0.002980,198,153,1
0.002981,208,19,1
0.003081,1,73,1
0.003181,165,72,1
0.003182,204,134,1
0.003183,70,44,1
0.003184,136,199,1
0.003186,79,21,1
0.003186,91,183,1
0.003187,190,246,1
0.003188,238,80,1
0.003189,118,6,1
0.003191,124,232,1
0.003192,108,233,1
0.003193,168,38,1
0.003193,126,54,1
0.003195,214,109,1
0.003295,207,123,1
0.003296,220,140,1
0.003298,132,72,1
0.003299,143,104,1
0.003399,19,129,1
0.003400,217,255,1
0.003401,177,94,1
0.003402,149,110,1
0.003403,128,131,1
0.003404,91,79,1
0.003405,162,60,1
0.003406,219,5,1
0.003407,16,160,1
0.003408,6,92,1
0.003409,225,103,1
0.003410,36,73,1
0.003411,72,230,1
0.003412,161,34,1
0.003512,131,166,1
0.003514,96,244,1
0.003515,144,152,1
0.003516,153,120,1
0.003517,115,66,1
0.003518,247,158,1
0.003519,1,250,1
0.003521,84,255,1
0.003522,176,125,1
0.003523,240,238,1
0.003525,34,96,1
0.003625,107,125,1
0.003725,51,177,1
0.003726,57,86,1
0.003727,197,199,1
0.003728,145,177,1
0.003729,49,136,1
0.003730,124,93,1
0.003830,202,37,1
0.003832,43,9,1
0.003833,254,125,1
0.003834,161,139,1
0.003835,136,126,1
0.003836,37,155,1
0.003837,121,12,1
0.003838,16,230,1
0.003839,109,45,1
0.003939,26,233,1
0.003940,134,74,1
0.003941,138,43,1
0.003942,85,91,1
0.004043,83,120,1
0.004044,61,233,1
0.004045,244,65,1
0.004046,139,245,1
0.004047,202,68,1
0.004048,87,94,1
0.004049,113,156,1
0.004050,64,254,1
0.004052,143,88,1
0.004053,190,56,1
0.004053,54,193,1
0.004055,94,73,1
0.004155,98,38,1
0.004156,197,70,1
0.004157,168,197,1
0.004257,112,35,1
0.004258,103,87,1
0.004259,179,192,1
0.004260,75,191,0
0.004360,236,26,0
0.004362,14,105,0
0.004462,109,75,0
0.004463,14,146,0
0.004464,54,177,0
0.004464,39,46,0
0.004465,255,196,0
0.004467,44,71,0
0.004468,170,40,0
0.004469,249,102,0
0.004470,66,192,0
0.004571,93,210,0
0.004571,209,243,1
0.004572,188,59,1
0.004574,105,148,1
0.004574,230,84,1
0.004576,138,85,1
0.004577,1,128,1
0.004578,223,156,1
0.004579,181,244,1
0.004580,153,39,1
0.004581,47,100,1
0.004583,23,227,1
0.004584,47,69,1
0.004585,72,140,1
0.004586,177,110,1
0.004587,107,53,1
0.004588,116,236,1
0.004589,130,67,0
0.004590,170,40,0
0.004591,222,137,0
0.004593,242,179,0
0.004594,16,227,0
0.004595,2,105,0
0.004596,33,99,0
0.004598,22,196,1
0.004599,229,255,1
0.004600,99,75,1
0.004601,13,197,1
0.004602,84,240,1
0.004702,9,235,1
0.004703,109,218,1
0.004705,245,128,1
0.004706,66,225,1
0.004706,53,44,1
0.004708,248,133,1
0.004709,206,189,1
0.004710,185,158,1
0.004711,127,82,1
0.004712,10,70,1
0.004713,186,48,1
0.004714,22,0,1
0.004715,216,28,1
0.004716,224,6,1
0.004717,81,246,1
0.004718,150,150,1
0.004719,107,178,1
0.004720,151,34,1
0.004721,245,55,1
0.004722,133,52,1
0.004722,155,193,1
0.004723,138,52,1
0.004724,186,124,1
0.004726,224,237,1
0.004727,164,34,0
0.004729,238,14,0
0.004729,56,98,0
0.004731,169,99,0
0.004732,109,151,0
0.004733,87,54,0
0.004833,157,61,0
0.004834,176,223,1
0.004835,49,169,1
0.004836,165,103,1
0.004936,38,207,1
0.004937,206,250,1
0.004938,194,79,1
0.004939,183,51,1
0.004940,15,221,1
0.005041,191,134,1
0.005041,178,80,1
0.005042,116,53,1
0.005043,191,119,1
0.005044,211,207,1
0.005045,240,191,1
0.005047,29,74,1
0.005147,244,88,1
0.005148,239,136,1
0.005149,180,42,1
0.005150,100,173,1
0.005151,166,1,1
0.005152,43,13,1
0.005153,183,237,1
0.005155,96,217,1
0.005156,129,21,1
0.005157,197,216,1
0.005158,192,135,1
0.005160,114,159,1
0.005161,104,47,1
0.005162,150,130,1
0.005163,194,45,1
0.005164,123,244,1
0.005165,216,109,1
0.005265,137,108,1
0.005266,11,93,1
0.005268,17,207,1
0.005269,49,125,1
0.005369,156,91,1
0.005370,10,174,1
0.005370,237,121,1
0.005372,20,168,1
0.005373,66,122,1
0.005374,207,241,1
0.005375,51,88,1
0.005376,91,205,1
0.005377,137,147,1
0.005379,82,186,1
0.005380,82,63,1
0.005381,142,86,1
0.005383,99,118,1
0.005384,74,241,1
0.005385,202,41,1
0.005386,86,25,1
0.005388,195,184,1
0.005389,163,51,1
0.005390,189,244,1
0.005490,11,111,1
0.005491,131,42,1
0.005492,141,41,1
0.005493,250,79,1
0.005495,72,84,1
0.005495,10,200,1
0.005497,114,49,1
0.005498,91,158,1
0.005499,35,176,1
0.005500,38,89,1
0.005501,195,19,1
0.005502,118,2,1
0.005602,192,205,1
0.005604,165,14,1
0.005605,151,190,1
0.005607,1,98,1
0.005607,10,181,1
0.005609,205,54,1
0.005610,248,217,1
0.005611,234,46,1
0.005612,130,142,1
0.005613,82,248,1
0.005614,131,71,1
0.005616,218,186,1
0.005616,221,81,1
0.005618,105,79,1
0.005619,1,32,1
0.005620,146,197,1
0.005621,130,103,1
0.005722,238,98,1
0.005723,12,251,1
0.005724,8,208,1
0.005725,250,206,1
0.005726,224,212,1
0.005727,202,183,1
0.005728,168,100,1
0.005729,78,235,1
0.005829,145,97,1
0.005830,146,24,1
0.005832,86,240,1
0.005833,3,23,1
0.005834,207,14,1
0.005835,104,230,1
0.005837,220,128,1
0.005838,185,190,1
0.005839,25,78,1
0.005840,249,70,1
0.005841,127,29,1
0.005842,234,115,1
0.005844,11,111,1
0.005845,165,72,1
0.005846,115,209,1
0.005847,33,175,1
0.005848,4,115,1
0.005849,109,249,1
0.005850,252,52,1
0.005851,116,128,1
0.005951,31,157,1
0.005953,82,183,1
0.005953,94,18,1
0.005954,152,58,1
0.005955,143,65,1
0.005957,73,33,1
0.005958,245,194,1
0.005959,255,234,1
0.005960,38,235,1
0.005961,137,11,1
0.005963,98,7,1
0.006063,99,247,1
0.006064,39,90,1
0.006064,29,63,1
0.006065,33,79,1
0.006067,157,102,1
0.006167,8,33,1
0.006168,80,216,1
0.006169,174,98,1
0.006170,42,47,1
0.006171,242,102,1
0.006172,140,108,1
0.006173,182,110,1
0.006174,169,253,1
0.006175,210,230,1
0.006176,208,102,1
0.006177,147,243,1
0.006179,190,15,1
0.006180,191,240,1
0.006181,248,91,1
0.006281,201,223,1
0.006283,8,35,1
0.006284,230,15,1
0.006286,188,42,1
0.006287,236,116,1
0.006288,179,151,1
0.006289,161,186,1
0.006290,219,63,1
0.006291,88,154,1
0.006292,78,72,1
0.006294,44,96,1
0.006295,231,114,1
0.006296,100,86,1
0.006298,98,204,1
0.006299,4,19,1
0.006300,124,107,1
0.006301,38,61,1
0.006302,84,65,1
0.006303,221,125,1
0.006305,33,196,1
0.006306,190,127,1
0.006307,108,106,1
0.006407,233,176,0
0.006408,99,133,0
0.006409,52,192,0
0.006410,162,113,0
0.006411,49,247,0
0.006412,141,123,1
0.006414,170,12,1
0.006415,157,107,1
0.006416,36,134,1
0.006417,121,229,1
0.006419,231,248,1
0.006420,103,211,1
0.006421,116,217,1
0.006422,59,182,1
0.006424,8,51,1
0.006524,25,169,1
0.006525,102,169,1
0.006526,178,244,1
0.006528,25,185,1
0.006529,195,222,1
0.006530,212,208,1
0.006530,52,225,1
0.006531,7,122,1
0.006532,28,108,1
0.006534,72,229,1
0.006534,131,42,1
0.006536,10,22,1
0.006537,197,217,1
0.006538,217,212,1
0.006539,27,65,1
0.006640,135,49,1
0.006641,237,158,1
0.006642,236,183,1
0.006643,194,184,1
0.006644,168,222,1
0.006645,1,230,1
0.006646,2,23,1
0.006648,55,139,1
0.006649,205,133,0
0.006650,231,175,0
0.006651,248,220,0
0.006652,44,185,0
0.006654,13,19,0
0.006655,56,195,0
0.006656,151,74,0
0.006657,251,52,0
0.006658,120,205,0
0.006660,166,60,0
0.006660,136,84,0
0.006760,81,116,1
0.006861,9,203,1
0.006862,161,221,1
0.006863,181,71,1
0.006864,238,101,1
0.006865,79,246,1
0.006866,216,7,1
0.006867,191,254,1
0.006868,29,160,1
0.006870,49,5,1
0.006870,40,167,1
0.006871,188,5,1
0.006872,246,232,1
0.006873,132,230,1
0.006873,27,0,1
0.006875,225,31,1
0.006876,138,57,1
0.006877,6,53,1
0.006878,162,176,1
0.006879,105,114,0
0.006880,118,119,0
0.006981,134,141,0
0.006982,55,141,0
0.006983,22,154,0
0.006984,120,37,0
0.006985,190,72,0
0.006986,229,198,1
0.006987,73,105,1
0.006989,53,132,1
0.006990,96,117,1
0.006991,248,138,1
0.006992,240,44,1
0.007092,46,82,1
0.007093,61,251,1
0.007095,134,9,1
0.007096,9,164,1
0.007097,153,251,1
0.007098,82,9,1
0.007099,110,192,1
0.007101,160,225,1
0.007102,38,108,1
0.007103,163,14,1
0.007104,95,71,1
0.007105,180,90,0
0.007106,179,75,0
0.007107,19,193,0
0.007108,228,25,0
0.007110,226,4,0
0.007110,179,168,0
0.007112,233,253,0
0.007212,49,205,0
0.007213,111,222,0
0.007214,164,6,1
0.007215,210,78,1
0.007216,206,1,1
0.007217,41,137,1
0.007218,118,129,1
0.007219,203,254,1
0.007319,113,97,1
0.007321,239,195,1
0.007322,102,238,1
0.007323,180,223,1
0.007324,115,197,1
0.007325,91,52,1
0.007326,239,25,1
0.007327,245,85,1
0.007427,44,72,1
0.007428,135,29,1
0.007429,21,238,1
0.007430,172,74,1
0.007432,66,160,1
0.007433,192,98,1
0.007435,120,178,1
0.007436,176,30,1
0.007437,184,53,1
0.007537,28,27,1
0.007538,146,92,1
0.007540,80,27,1
0.007540,107,189,1
0.007542,89,41,1
0.007542,34,216,1
0.007643,13,214,1
0.007743,68,218,1
0.007743,26,132,1
0.007745,32,29,1
0.007746,235,195,1
0.007846,120,197,1
0.007847,67,13,1
0.007848,54,112,1
0.007849,202,144,1
0.007850,115,57,1
0.007851,205,76,1
0.007852,36,50,1
0.007853,141,250,1
0.007854,29,225,1
0.007856,214,213,1
0.007956,144,151,1
0.007957,3,59,1
0.007959,84,156,1
0.007960,1,228,1
0.007961,12,142,1
0.007962,65,133,1
0.007963,33,165,1
0.007964,138,10,1
0.007965,32,166,1
0.008065,60,96,1
0.008166,110,8,1
0.008167,223,183,1
0.008267,218,107,1
0.008268,190,54,1
0.008270,169,126,1
0.008370,1,198,1
0.008371,132,187,1
0.008372,209,18,1
0.008373,139,34,1
0.008374,16,159,1
0.008375,253,199,1
0.008376,212,138,1
0.008377,228,14,1
0.008378,185,137,1
0.008380,176,24,1
0.008381,123,122,1
0.008382,251,226,1
0.008384,229,132,1
0.008385,213,198,1
0.008386,117,161,1
0.008387,215,68,1
0.008388,8,210,1
0.008390,254,85,1
0.008391,136,233,1
0.008392,3,20,1
0.008393,130,98,1
0.008394,129,86,1
0.008396,58,235,1
0.008397,226,250,1
0.008398,107,252,1
0.008399,243,215,1
0.008500,253,187,1
0.008501,92,57,1
0.008502,201,158,1
0.008503,112,135,1
0.008603,106,112,1
0.008605,60,121,1
0.008705,183,249,1
0.008706,237,253,1
0.008707,70,228,1
0.008707,32,245,1
0.008709,6,248,1
0.008710,82,239,1
0.008711,6,52,1
0.008712,76,79,1
0.008713,146,129,1
0.008714,174,209,1
0.008715,12,24,1
0.008717,208,88,1
0.008718,155,120,1
0.008719,88,252,1
0.008720,181,62,1
0.008721,116,24,1
0.008821,38,194,1
0.008822,210,216,1
0.008823,208,204,1
0.008824,246,79,1
0.008825,239,13,1
0.008926,214,73,1
0.008926,11,76,1
0.008927,8,141,1
0.009028,144,52,1
0.009029,211,103,1
0.009030,77,4,1
0.009031,186,204,1
0.009032,141,20,1
0.009033,145,84,1
0.009034,158,113,1
0.009035,25,10,1
0.009035,181,127,1
0.009036,142,234,1
0.009037,106,255,1
0.009038,20,90,1
0.009039,37,36,1
0.009040,50,13,0
0.009041,173,19,0
0.009042,19,51,0
0.009043,109,45,0
0.009044,243,214,0
0.009045,160,136,0
0.009046,192,3,0
0.009047,174,253,0
0.009048,87,234,0
0.009049,155,48,1
0.009050,42,149,1
0.009050,106,212,1
0.009051,163,252,1
0.009053,111,240,1
0.009054,118,45,1
0.009055,70,135,1
0.009056,210,50,1
0.009057,100,189,1
0.009058,116,131,1
0.009059,174,81,1
0.009061,203,132,1
0.009161,162,242,1
0.009162,45,109,1
0.009163,244,37,1
0.009164,9,18,1
0.009165,140,118,1
0.009166,61,213,1
0.009266,203,67,1
0.009268,195,66,1
0.009269,250,204,1
0.009270,187,0,1
0.009271,210,102,1
0.009272,13,0,1
0.009273,72,240,1
0.009274,25,92,1
0.009275,121,126,1
0.009276,49,60,1
0.009277,62,149,1
0.009377,255,71,1
0.009478,143,44,1
0.009478,208,134,1
0.009479,51,231,1
0.009481,118,41,1
0.009482,84,134,1
0.009483,119,76,1
0.009484,29,99,1
0.009485,74,81,1
0.009486,35,120,1
0.009488,77,130,1
0.009588,246,182,1
0.009589,182,203,1
0.009590,70,22,1
0.009591,235,214,1
0.009593,255,32,1
0.009594,132,65,1
0.009595,0,23,1
0.009596,37,121,1
0.009696,131,167,1
0.009698,52,19,1
0.009699,217,68,1
0.009700,208,143,1
0.009701,83,179,1
0.009702,221,37,1
0.009704,229,36,1
0.009705,149,119,1
0.009706,181,46,1
0.009707,229,93,1
0.009708,149,117,1
0.009710,236,240,1
0.009711,16,42,1
0.009712,29,243,1
0.009713,41,112,1
0.009714,222,223,1
0.009715,159,14,1
0.009717,58,152,1
0.009718,14,110,1
0.009818,51,201,1
0.009819,122,142,1
0.009820,204,50,1
0.009821,47,111,1
0.009822,222,198,1
0.009823,247,25,1
0.009824,250,146,1
0.009825,58,0,1
0.009827,110,28,1
0.009828,240,127,1
0.009829,192,159,1
0.009830,127,190,1
0.009831,139,2,1
0.009831,71,26,1
0.009932,25,27,1
0.009933,6,82,1
0.009934,50,1,1
0.009935,119,72,1
0.009936,74,238,1
0.009938,35,124,1
0.009939,150,53,1
0.010039,181,124,1
0.010040,30,234,1
0.010141,204,190,1
0.010142,51,254,1
0.010143,150,32,1
0.010144,24,214,1
0.010145,211,197,1
0.010146,48,123,1
0.010147,32,65,0
0.010148,155,115,0
0.010149,71,207,0
0.010149,241,207,0
0.010150,89,108,0
0.010152,100,172,1
0.010153,61,221,1
0.010154,142,211,1
0.010155,176,34,1
0.010157,148,70,1
0.010158,227,98,1
0.010159,118,62,1
0.010160,138,135,1
0.010161,150,167,1
0.010162,88,144,1
0.010163,43,69,1
0.010164,175,9,1
0.010165,119,210,1
0.010166,210,169,1
0.010167,141,238,1
0.010168,7,130,1
0.010169,132,158,1
0.010171,141,65,1
0.010172,255,112,1
0.010173,179,88,1
0.010174,149,134,1
0.010175,41,194,1
0.010176,193,255,0
0.010177,48,67,0
0.010178,80,49,0
0.010180,2,151,0
0.010280,123,197,0
0.010281,166,109,0
0.010381,113,200,0
0.010382,125,238,0
0.010383,200,207,0
0.010385,255,0,0
0.010386,254,58,0
0.010387,4,161,1
0.010388,35,223,1
0.010390,222,136,1
0.010391,136,190,1
0.010392,120,8,1
0.010393,78,219,1
0.010394,93,231,1
0.010395,145,126,1
0.010396,131,82,1
0.010397,191,35,1
0.010398,145,193,1
0.010399,94,70,1
0.010400,224,171,1
0.010401,120,243,1
0.010403,8,172,1
0.010403,27,89,1
0.010405,240,67,1
0.010406,31,150,1
0.010407,128,159,1
0.010409,137,143,1
0.010509,128,165,1
0.010511,56,230,1
0.010512,68,194,1
0.010513,14,93,1
0.010514,55,75,1
0.010515,122,78,1
0.010516,176,17,1
0.010517,24,154,1
0.010517,82,96,1
0.010519,172,222,1
0.010520,162,125,1
0.010620,75,55,1
0.010621,85,104,1
0.010622,206,19,1
0.010623,78,191,1
0.010723,123,236,1
0.010724,156,156,1
0.010725,247,7,1
0.010726,188,123,1
0.010727,54,176,1
0.010728,147,78,1
0.010729,221,97,1
0.010730,9,39,1
0.010731,100,207,1
0.010731,247,215,1
0.010732,231,58,1
0.010733,242,250,1
0.010734,34,118,1
0.010735,63,47,1
0.010737,224,125,1
0.010737,213,68,1
0.010739,7,136,1
0.010740,37,224,1
0.010741,70,162,1
0.010743,184,53,0
0.010743,48,209,0
0.010745,222,35,0
0.010745,193,168,0
0.010746,242,245,0
0.010747,44,226,0
0.010749,189,0,0
0.010750,181,147,0
0.010751,38,117,0
0.010752,38,44,0
0.010753,188,194,0
0.010754,143,174,1
0.010755,54,220,1
0.010855,223,230,1
0.010856,250,187,1
0.010857,214,218,1
0.010958,153,57,1
0.010958,116,4,1
0.010960,207,173,1
0.011060,153,95,1
0.011061,72,84,0
0.011062,148,159,0
0.011063,33,22,0
0.011064,54,119,0
0.011065,23,214,0
0.011066,228,24,1
0.011067,92,79,1
0.011068,213,103,1
0.011070,3,95,1
0.011071,84,84,1
0.011072,196,139,1
0.011073,55,163,1
0.011074,176,95,1
0.011075,132,143,1
0.011077,103,195,1
0.011078,241,237,1
0.011078,125,65,1
0.011079,170,110,1
0.011080,119,104,1
0.011081,124,125,1
0.011083,39,235,1
0.011084,5,183,1
0.011085,248,235,1
0.011185,72,89,1
0.011285,33,210,1
0.011286,101,4,1
0.011288,78,193,1
0.011289,122,216,1
0.011290,153,22,1
0.011292,12,228,1
0.011293,232,244,1
0.011295,250,98,1
0.011295,182,17,1
0.011296,72,154,1
0.011297,51,13,1
0.011298,96,6,1
0.011399,223,247,1
0.011400,64,33,1
0.011401,15,79,1
0.011403,169,187,1
0.011403,182,210,1
0.011405,81,172,1
0.011406,161,140,1
0.011407,27,39,1
0.011409,111,229,1
0.011409,54,98,1
0.011410,61,90,1
0.011411,78,147,1
0.011412,155,82,1
0.011413,51,172,1
0.011414,192,82,1
0.011415,146,155,1
0.011417,136,149,1
0.011418,189,214,1
0.011419,108,255,1
0.011420,23,77,1
0.011421,58,213,1
0.011521,250,103,1
0.011522,176,202,1
0.011523,126,221,1
0.011524,33,199,1
0.011624,113,181,1
0.011626,117,176,1
0.011627,117,108,1
0.011628,141,64,1
0.011629,79,125,1
0.011630,147,131,1
0.011631,35,104,1
0.011632,212,215,1
0.011733,199,225,1
0.011734,233,120,1
0.011735,22,174,1
0.011736,241,9,1
0.011737,53,39,1
0.011738,35,239,1
0.011838,143,97,1
0.011839,170,151,1
0.011939,13,174,1
0.011941,203,122,1
0.011941,70,170,1
0.011942,171,226,1
0.011943,139,18,1
0.011944,209,0,1
0.011946,174,234,1
0.011947,239,142,1
0.011948,68,106,1
0.011949,59,218,1
0.011951,152,13,1
0.011952,231,30,1
0.011953,38,211,1
0.011955,53,233,1
0.011956,97,109,1
0.011957,36,62,1
0.011958,133,0,1
0.011959,20,67,1
0.011960,93,227,1
0.011961,80,188,1
0.011962,157,45,1
0.011963,61,205,1
0.011965,75,165,1
0.011965,127,227,1
0.011967,46,205,1
0.011968,118,202,1
0.011969,113,223,1
0.011970,245,194,1
0.011971,190,211,1
0.011972,195,61,1
0.011973,192,236,1
0.011974,64,239,1
0.011975,189,49,0
0.012075,56,112,0
0.012076,239,157,0
0.012077,126,130,0
0.012078,120,238,0
0.012178,78,140,0
0.012179,95,179,0
0.012180,21,48,1
0.012181,162,213,1
0.012182,26,15,1
0.012183,90,203,1
0.012184,159,106,1
0.012284,139,240,1
0.012286,71,65,1
0.012386,43,244,1
0.012387,137,130,1
0.012388,190,215,1
0.012390,20,59,1
0.012391,221,78,1
0.012491,74,148,1
0.012492,99,206,1
0.012492,88,226,1
0.012494,201,113,1
0.012495,101,163,1
0.012496,112,216,1
0.012497,203,133,1
0.012498,8,169,1
0.012500,6,150,1
0.012501,141,40,1
0.012502,193,24,1
0.012602,93,88,1
0.012603,231,227,0
0.012604,67,91,0
0.012605,62,190,0
0.012606,235,21,0
0.012607,37,107,0
0.012608,30,193,0
0.012609,245,5,0
0.012610,30,207,1
0.012710,14,78,1
0.012711,188,47,1
0.012713,183,207,1
0.012714,131,106,1
0.012715,89,17,1
0.012716,113,58,1
0.012718,204,189,1
0.012719,220,19,1
0.012720,205,216,1
0.012721,114,190,1
0.012721,215,134,1
0.012722,1,191,1
0.012724,199,203,1
0.012725,105,54,1
0.012726,242,93,1
0.012727,145,238,1
0.012827,250,106,1
0.012828,181,99,1
0.012829,98,232,1
0.012830,119,26,1
0.012832,212,189,1
0.012833,133,31,1
0.012834,54,30,1
0.012834,56,167,1
0.012835,161,37,1
0.012836,97,171,1
0.012837,235,45,1
0.012838,206,177,1
0.012939,153,56,1
0.012940,196,50,1
0.013040,63,151,1
0.013041,102,107,1
0.013042,99,135,1
0.013044,114,186,1
0.013045,167,95,0
0.013046,112,226,0
0.013047,75,181,0
0.013147,218,39,0
0.013149,154,241,0
0.013150,104,240,0
0.013151,93,81,0
0.013152,77,100,0
0.013153,110,222,0
0.013154,192,117,0
0.013155,248,174,0
0.013156,1,188,0
0.013157,129,178,0
0.013158,206,10,1
0.013159,202,4,1
0.013161,50,145,1
0.013161,232,22,1
0.013163,202,195,1
0.013164,26,96,1
0.013164,120,61,1
0.013166,118,26,1
0.013167,48,56,1
0.013168,112,87,1
0.013169,51,204,1
0.013170,231,234,1
0.013171,228,131,1
0.013173,27,131,1
0.013173,205,85,1
0.013175,178,236,1
0.013176,28,137,1
0.013177,194,107,1
0.013179,139,5,1
0.013179,197,35,1
0.013181,5,21,1
0.013182,214,233,1
0.013183,111,136,1
0.013185,107,101,1
0.013186,142,113,1
0.013187,174,67,1
0.013189,56,123,1
0.013190,32,203,1
0.013191,172,186,1
0.013192,53,28,1
0.013194,60,170,1
0.013195,38,208,1
0.013196,177,24,1
